"tk","territory","lat","lon"
"18452","ΝΙΚΑΙΑ ΝΕΑΠΟΛΗ","37.9801609","23.6404453"
"18453","ΝΙΚΑΙΑ ΝΕΑΠΟΛΗΣ","40.6714128","22.9261508"
"18454","ΝΙΚΑΙΑ ΑΣΠΡΑ ΧΩΜΑΤΑ","37.967250799999995","23.6612108"
"18510","ΤΕΛΩΝΕΙΟ Α'","37.9491278","23.640579"
"18531","ΠΕΙΡΑΙΑΣ","37.9447711","23.6432507"
"18532","ΠΕΙΡΑΙΑΣ","37.9471388","23.652288199999997"
"18533","ΠΕΙΡΑΙΑΣ ΚΑΣΤΕΛΛΑ","37.9410179","23.6600693"
"18534","ΠΕΙΡΑΙΑΣ ΠΛΑΤΕΙΑ ΑΛΕΞΑΝΔΡ","37.93463870000001","23.6507774"
"18535","ΠΕΙΡΑΙΑ","37.94167789999999","23.6483108"
"18536","ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ","37.93693452663133","23.64394444724239"
"18537","ΠΕΙΡΑΙΑΣ ΑΓΙΑ ΝΙΚΟΛΑΟΣ","37.9383258","23.6398482"
"18538","ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ","37.9349275","23.632022600000006"
"18539","ΠΕΙΡΑΙΑΣ ΚΑΛΛΙΠΟΛΙΣ","37.9307333","23.635475699999997"
"18540","ΠΕΙΡΑΙΑΣ","37.9522979","23.6518792"
"18541","ΠΕΙΡΑΙΑΣ ΑΠΟΛΛΩΝΟΣ","37.9528283","23.6661308"
"18542","ΠΕΙΡΑΙΕΥΣ ΚΟΚΚΙΝΙΑ","37.9620112","23.65356"
"18543","ΠΕΙΡΑΙΑΣ ΜΑΝΙΑΤΙΚΑ","37.9563672","23.6476099"
"18544","ΝΙΚΑΙΑ ΠΕΙΡΑΙΑΣ","37.95782970000001","23.6372814"
"18545","ΠΕΙΡΑΙΑ ΤΑΜΠΟΥΡΙΑ","37.9553709","23.635226199999998"
"18546","ΠΕΙΡΑΙΑΣ ΤΑΜΠΟΥΡΙΑ","37.95764715715603","23.631729146149638"
"18547","ΠΕΙΡΑΙΑΣ ΝΕΑ ΦΑΛΗΡΟ","37.94858410000001","23.6595454"
"18648","ΔΡΑΠΕΤΣΩΝΑ","37.9499825","23.6239953"
"18755","ΚΕΡΑΤΣΙΝΙ","37.9548428","23.6185383"
"18756","ΚΕΡΑΤΣΙΝΙ ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ","37.961153","23.6168866"
"18757","ΚΕΡΑΤΣΙΝΙ ΑΜΦΙΑΛΗ","37.9701789","23.6214897"
"18758","ΚΕΡΑΤΣΙΝΙ ΑΜΦΙΑΛΗ","37.9678208","23.6170282"
"18863","ΠΕΡΑΜΑ","37.9656089","23.5677089"
"18900","ΣΑΛΑΜΙΝΑ","37.966284","23.4952437"
"18901","ΣΑΛΑΜΙΝΑ","37.964277536137985","23.512667554876124"
"18902","ΣΑΛΑΜΙΝΑ","37.954993","23.527785199999997"
"18903","ΣΑΛΑΜΙΝΑ","37.9040129","23.4418908"
"19001","ΚΕΡΑΤΕΑ","37.80717960000001","23.976341199999997"
"19002","ΠΑΙΑΝΙΑ","37.9553334","23.8522263"
"19003","ΜΑΡΚΟΠΟΥΛΟ","37.8833564","23.9333037"
"19004","ΣΠΑΤΑ","37.96464080000001","23.9070776"
